Program/Agency Name,Project Name,Sub-Project Name,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,total_10years,Ward Number,Ward,Category
Wastewater Program,DON & WATERFRONT TRUNK CSO,DCW - PH 1 - OFFLINE STOR TANK AT SHEPPARD/LESLIE,1977,1043,604,0,0,0,0,0,0,0,3624,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,HIGHLAND CREEK WWTP - ODOUR CONTROL,BIOFILTER SYSTEM UPGRADES,-2970,1800,535,1230,3,17,15,0,0,0,630,CW,City Wide,Legislated C02
Wastewater Program,DON & WATERFRONT TRUNK CSO,Don & WF Trunk/CSO Design - PH1- Coxwell & Lower,7481,0,0,0,0,0,0,0,0,0,7481,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,DON & WATERFRONT TRUNK CSO,Don & WF Trunk/CSO Cons PH 3 - Inner Harbour W T,9336,4805,0,0,0,0,0,0,0,0,14141,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,DON & WATERFRONT TRUNK CSO,Don & Waterfront Trunk/CSO Construction - PHASE 3,-5055,-336,4503,464,928,0,0,0,0,0,504,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,DON & WATERFRONT TRUNK CSO,DRCW - TMC Tunnel - Eng/Easements,0,0,0,0,-280,-2326,-3957,5478,1084,0,-1,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,DON & WATERFRONT TRUNK CSO,DCW - MTI REGULATION/RTC,-196,273,0,0,0,0,0,0,0,0,77,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,DON & WATERFRONT TRUNK CSO,DCW - MTI REGULATION/RTC - CONSTRUCTION,-9,-71,0,0,0,0,0,0,0,0,-80,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,DON & WATERFRONT TRUNK CSO,DCW - MTI REGULATION/RTC - CONSTRUCTION,-71,-919,0,0,0,0,0,0,0,0,-990,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,ASHBRIDGES BAY WWTP - SOLIDS & GAS HANDLING,WASTE ACTIVATED SLUDGE UPGRADE - CONSTRUCTION,3515,2581,1078,1078,1317,0,0,0,0,0,9569,CW,City Wide,State of Good Repair C03
Wastewater Program,ASHBRIDGES BAY WWTP - LIQUID TREATMENT & HANDLING,P BLDG HEADWORKS UPGRADE,21,0,0,0,0,0,0,0,0,0,21,CW,City Wide,State of Good Repair C03
Wastewater Program,SEWER REPLACEMENT PROGRAM,SEWER REPLACEMENT - METROLINX,0,0,0,82,0,0,0,0,0,0,82,CW,City Wide,State of Good Repair C03
Wastewater Program,SEWER REPLACEMENT PROGRAM,SEWER REPLC - 2024 PROGRAM,759,205,285,0,0,0,0,0,0,0,1249,CW,City Wide,State of Good Repair C03
Wastewater Program,SEWER REPLACEMENT PROGRAM,SEWER REPLACEMENT - METROLINX,0,0,0,-82,0,0,0,0,0,0,-82,CW,City Wide,State of Good Repair C03
Wastewater Program,SEWER REPLACEMENT PROGRAM,FORCEMAIN REPLACEMENT - 2016,0,89,0,0,0,0,0,0,0,0,89,CW,City Wide,State of Good Repair C03
Wastewater Program,SEWER REPLACEMENT PROGRAM,SEWER REPLACEMENT - SUBWAY EXPANSION,0,5,0,0,0,0,0,0,0,0,5,CW,City Wide,State of Good Repair C03
Wastewater Program,SEWER REPLACEMENT PROGRAM,SEWER REPLACEMENT - GO RAIL EXPANSION,76,46,46,46,46,23,23,0,0,0,306,CW,City Wide,State of Good Repair C03
Wastewater Program,ASHBRIDGES BAY WWTP - O&M UPGRADES,MESI UPGRADES,2710,2790,2960,0,0,0,0,0,0,0,8460,CW,City Wide,State of Good Repair C03
Wastewater Program,ASHBRIDGES BAY WWTP - O&M UPGRADES,MESI UPGRADES,-499,-579,-644,2422,0,0,0,0,0,0,700,CW,City Wide,State of Good Repair C03
Wastewater Program,OPERATIONAL SUPPORT,DISTRICT OPERATIONS FACILITY UPGRADES,-1129,1910,2600,2045,3855,180,95,0,0,0,9556,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,TRUNK SEWER SYSTEM,TRUNK SEWER CLEANING,-33,-5,40,0,0,0,0,0,0,100,102,CW,City Wide,State of Good Repair C03
Wastewater Program,ASHBRIDGES BAY WWTP REHAB,P BLDG HEADWORKS - ENGINEERING DESIGN & CONTRACT A,-194,43,0,0,0,0,0,0,0,0,-151,CW,City Wide,State of Good Repair C03
Wastewater Program,ASHBRIDGES BAY WWTP REHAB,FERROUS UPGRADES,16,0,0,0,0,0,0,0,0,0,16,CW,City Wide,State of Good Repair C03
Wastewater Program,ASHBRIDGES BAY WWTP REHAB,DIGESTERS 13-22 REHABILITATION,-64,-150,-980,-1000,0,-9800,-9750,-6200,3680,14200,-10064,CW,City Wide,State of Good Repair C03
Wastewater Program,NEW SEWER CONSTRUCTION,WATERFRONT SANITARY MASTER SERVICING PLAN IMPLEMEN,-8281,12376,18135,18170,14264,7467,-75,-75,0,0,61981,CW,City Wide,Growth Related C05
Wastewater Program,TRCA EROSION CONTROL,TRCA - SCARBOROUGH WATERFRONT WEST EA,641,0,0,0,0,0,0,0,0,0,641,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,HIGHLAND CREEK WWTP UPGRADES,PROCESS & FACILITY UPGRADE,62,362,0,500,500,0,0,0,0,0,1424,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,HIGHLAND CREEK WWTP UPGRADES,LIQUID TRAIN REPAIRS - PHASE 2,500,3500,0,0,0,0,-500,-500,-3000,1000,1000,CW,City Wide,State of Good Repair C03
Wastewater Program,HIGHLAND CREEK WWTP UPGRADES,PLANT STUDIES,200,200,300,0,0,0,0,0,0,0,700,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,HIGHLAND CREEK WWTP UPGRADES,PROCESS & FACILITY UPGRADE,1738,1424,575,35,0,0,0,0,0,0,3772,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,HUMBER WWTP UPGRADES,WET WEATHER FLOW,0,1190,1130,1180,8950,18100,17700,9700,100,0,58050,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,HUMBER WWTP UPGRADES,GAS COMPRESSOR BUILDING,2000,2672,6600,4750,61,0,0,0,0,0,16083,CW,City Wide,State of Good Repair C03
Wastewater Program,HUMBER WWTP UPGRADES,COMMUNICATION SYSTEM,-880,900,0,0,0,-9500,-14000,-6750,0,250,-29980,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,SEWAGE PUMPING STATION UPGRADES,SCOTT ST PS & SIMCOE ST PS,21,45,118,150,4,0,0,0,0,0,338,CW,City Wide,Growth Related C05
Wastewater Program,SEWAGE PUMPING STATION UPGRADES,SCOTT ST PS & SIMCOE ST PS,159,585,1532,1950,46,0,0,0,0,0,4272,CW,City Wide,Growth Related C05
Wastewater Program,SEWAGE PUMPING STATION UPGRADES,SPS UPGRADES - GROUP 7,-3634,0,3742,8134,7362,8384,7446,5589,2804,2804,42631,CW,City Wide,Legislated C02
Wastewater Program,HIGHLAND CREEK WWTP - SOLIDS & GAS HANDLING,BMP IMPLEMENTATION & ENHANCEMENTS - ENGINEERING,-243,-24,29,0,0,85,75,0,3,0,-75,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING RELIEF - GROUP 4 (CONSTRUCTION),-1128,-248,-89,-780,-88,0,0,0,0,0,-2333,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING RELIEF - GROUP 4 (CONSTRUCTION),-2491,3910,-29610,-29496,4143,-5904,5798,-14795,-4374,12000,-60819,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING DESIGN - GROUP 1,-115,-176,0,0,0,0,0,0,0,0,-291,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING DESIGN - GROUP 2,0,-45,0,0,0,0,0,0,0,0,-45,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING PROTECTION SUBSIDY PROGRAM,0,5500,0,0,0,0,0,0,0,0,5500,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,ASHBRIDGES BAY WWTP - EFFLUENT SYSTEM,DISINFECTION ENGINEERING,2805,706,0,0,0,0,0,0,0,0,3511,CW,City Wide,Legislated C02
Wastewater Program,ASHBRIDGES BAY WWTP - EFFLUENT SYSTEM,OUTFALL CONSTRUCTION,14299,1356,8690,0,0,0,0,0,0,0,24345,CW,City Wide,Legislated C02
Wastewater Program,ASHBRIDGES BAY WWTP - EFFLUENT SYSTEM,DISINFECTION ENGINEERING,-285,189,8,0,0,0,0,0,0,0,-88,CW,City Wide,Legislated C02
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING DESIGN - GROUP 4 (ENGINEERING),45487,32907,23157,22684,23224,2423,9613,1359,9,0,160863,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING RELIEF - GROUP 4 (CONSTRUCTION),1128,248,89,780,88,0,0,0,0,0,2333,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING STUDIES & EAS,200,200,0,0,0,0,0,0,0,0,400,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,MIDTOWN TUNNEL,3817,2970,2970,2934,2956,501,0,0,0,0,16148,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BF TUNNEL - CONSTRUCTION,19778,0,0,3660,0,0,0,0,0,0,23438,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BF TUNNEL - CONTRACT ADMIN,1592,1659,1293,873,1625,1416,218,124,0,0,8800,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BF TUNNEL - CONSTRUCTION,-1997,-24169,-3040,5903,5571,0,0,0,0,0,-17732,CW,City Wide,Service Improvement and Enhancement C04
Water Program,ENGINEERING STUDIES,IMPROVED TREATMENT STUDIES,45,20,20,0,0,0,0,0,0,0,85,CW,City Wide,Service Improvement and Enhancement C04
Water Program,DIST WATER SERVICE REPAIR,WATER SERVICE REPAIR - WM REHAB PROGRAM,2336,890,5133,3600,1200,0,0,0,0,0,13159,CW,City Wide,Legislated C02
Water Program,DIST WATER SERVICE REPAIR,WATER SERVICE REPLACEMENT - TUNNEL,830,650,375,0,0,0,0,0,0,0,1855,CW,City Wide,Legislated C02
Water Program,WT&S PLANTWIDE,SOURCE WATER PROTECTION - LAKE ONTARIO COLLABORATI,1478,1651,1066,366,366,366,436,436,436,0,6601,CW,City Wide,Service Improvement and Enhancement C04
Water Program,DIST W/M REPLACEMENT,DIST W/M REPLACEMENT - 2019-2021,10195,5759,723,0,0,0,0,0,0,0,16677,CW,City Wide,State of Good Repair C03
Water Program,HORGAN TRUNK MAIN EXPANSION,DOWNSVIEW MAIN (KEELE PS TO DOWNSVIEW) Engineering,1167,600,378,23,0,0,0,0,0,0,2168,CW,City Wide,Growth Related C05
Water Program,HORGAN TRUNK MAIN EXPANSION,DOWNSVIEW MAIN (KEELE PS TO DOWNSVIEW) Engineering,0,400,252,15,0,0,0,0,0,0,667,CW,City Wide,Growth Related C05
Water Program,TRANSMISSION R&R,TRANS FACILITIES REHAB,11,545,425,250,95,0,0,0,0,0,1326,CW,City Wide,State of Good Repair C03
Water Program,TRANSMISSION R&R,RESERVOIR REHAB - Phase 3 - ENG,25,925,725,600,810,200,25,20,20,0,3350,CW,City Wide,State of Good Repair C03
Water Program,PW ENGINEERING,YORK REGION SHARED STUDIES,38,0,0,0,0,0,0,0,0,0,38,CW,City Wide,Growth Related C05
Water Program,PW ENGINEERING,YORK REGION SHARED STUDIES,9,0,0,0,0,0,0,0,0,0,9,CW,City Wide,Growth Related C05
Water Program,PW ENGINEERING,WATERMAIN ASSET PLANNING,-686,222,281,-156,-198,0,0,0,0,0,-537,CW,City Wide,State of Good Repair C03
Water Program,PW ENGINEERING,WATER LOSS REDUCTION STRATEGY,-456,-600,463,0,250,0,0,0,0,0,-343,CW,City Wide,State of Good Repair C03
Water Program,PW ENGINEERING,ASSET MGMT SYSTEM IMPLEMENTATION,-404,0,10,-49,-96,-39,-39,111,150,150,-206,CW,City Wide,Service Improvement and Enhancement C04
Water Program,PW ENGINEERING,ASSET MGMT SYSTEM IMPLEMENTATION,-1211,-2,60,-276,-544,-221,-221,629,850,850,-86,CW,City Wide,Service Improvement and Enhancement C04
Water Program,FJ HORGAN W.T.P. R&R,"BUILDING FIRE, HVAC, LIGHTING UPGRADES",-370,-1125,-610,885,645,675,0,0,0,0,100,CW,City Wide,Service Improvement and Enhancement C04
Water Program,FJ HORGAN W.T.P. R&R,OZONATION SYSTEM REHAB,-4095,2245,1353,5,6,0,0,0,0,0,-486,CW,City Wide,State of Good Repair C03
Water Program,FJ HORGAN W.T.P. R&R,RESIDUALS RENEWAL,40,265,64,4,0,0,0,0,0,0,373,CW,City Wide,State of Good Repair C03
Water Program,DIST W/M REHABILITATION,CATHODIC PROTECTION,4441,500,250,0,0,0,0,0,0,0,5191,CW,City Wide,State of Good Repair C03
Water Program,DIST W/M REHABILITATION,WATERMAIN STRUCTURAL LINING,-1432,17594,31136,13792,4782,0,0,0,0,0,65872,CW,City Wide,State of Good Repair C03
Water Program,NEW SERVICE CONNECTIONS,NEW SERVICE CONNECTIONS - CUT REPAIRS,-5929,3449,12041,0,0,0,0,0,0,0,9561,CW,City Wide,Growth Related C05
Water Program,SWITCH GEAR TRANSFORMER,INDOOR/OUTDOOR SWITCHGEAR (PHASE 4),12618,8864,6277,0,0,0,0,0,0,0,27759,CW,City Wide,State of Good Repair C03
Water Program,DISTRICT WATERMAINS - NEW,NEW WATERMAIN,-490,0,300,0,0,0,0,0,0,0,-190,CW,City Wide,Growth Related C05
Water Program,WATER SUSTAINABILITY PROGRAM,WATER SUSTAINABILITY PRG (STANDBY POWER - ELLESM),217,0,0,0,0,0,0,0,0,0,217,CW,City Wide,Service Improvement and Enhancement C04
Water Program,HORGAN TRUNK MAIN EXPANSION,DOWNSVIEW MAIN (KEELE PS TO DOWNSVIEW) Engineering,0,-210,-240,0,0,0,0,0,0,0,-450,CW,City Wide,Growth Related C05
Water Program,WATER SUSTAINABILITY PROGRAM,WATER SUSTAINABILITY PROGRAM (STANDBY POWER - ELLE,-471,495,7,0,0,0,0,0,0,0,31,CW,City Wide,Service Improvement and Enhancement C04
Water Program,WATER SUSTAINABILITY PROGRAM,WATER SUSTAINABILITY PROGRAM (STANDBY POWER - ELLE,-313,327,5,0,0,0,0,0,0,0,19,CW,City Wide,Service Improvement and Enhancement C04
Water Program,RL CLARK W.T.P. R&R,SURGE BLDS AND TANK REHAB,525,1350,390,15,0,0,0,0,0,0,2280,CW,City Wide,State of Good Repair C03
Water Program,RL CLARK W.T.P. R&R,PROCESS EQUIPMENT UPGRADE ENGINEERING,138,0,0,0,0,0,0,0,0,0,138,CW,City Wide,State of Good Repair C03
Water Program,TRANSMISSION R&R,DOWNSVIEW PS - Construction,3000,1001,0,0,0,0,0,0,0,0,4001,CW,City Wide,Growth Related C05
Water Program,TRANSMISSION R&R,DOWNSVIEW PS - Construction,0,189,0,0,0,0,0,0,0,0,189,CW,City Wide,Growth Related C05
Water Program,WT&S PLANTWIDE,STANDBY POWER - PHASE 2 - CONSTRUCTION,-594,351,0,-22,0,71,708,1432,0,0,1946,CW,City Wide,Service Improvement and Enhancement C04
Water Program,BUSINESS SYSTEM INFRASTRUCTURE - PW,SCADA UPGRADES FOR WWT,8659,5081,912,0,0,0,0,0,0,0,14652,CW,City Wide,Service Improvement and Enhancement C04
Water Program,BUSINESS SYSTEM INFRASTRUCTURE - PW,PCS UPGRADES 2017,423,450,450,450,450,100,100,100,100,100,2723,CW,City Wide,Service Improvement and Enhancement C04
Water Program,ISLAND W.T.P. R&R,REHABILITATION OF BUILDINGS & GROUNDS,5,700,595,5500,1450,0,0,0,0,0,8250,CW,City Wide,State of Good Repair C03
Water Program,ISLAND W.T.P. R&R,PLANTWIDE HVAC UPGRADES,-700,9,0,0,0,0,0,0,0,0,-691,CW,City Wide,Service Improvement and Enhancement C04
Water Program,ISLAND W.T.P. R&R,REHABILITATION OF BUILDINGS & GROUNDS,0,0,0,0,0,15,15,0,0,0,30,CW,City Wide,State of Good Repair C03
Water Program,DIST W/M REPLACEMENT,DIST W/M REPLACEMENT - 2018,-31,13,0,0,0,0,0,0,0,0,-18,CW,City Wide,State of Good Repair C03
Water Program,DIST W/M REPLACEMENT,DIST W/M REPLACEMENT - 2019-2021,-7242,1033,-484,0,0,0,0,0,0,0,-6693,CW,City Wide,State of Good Repair C03
Water Program,DIST W/M REPLACEMENT,2022-2024 WATERMAIN REPLACEMENT,-19258,29546,5358,2289,833,310,0,0,0,0,19078,CW,City Wide,State of Good Repair C03
Water Program,ENGINEERING,CONSULTING FEES,22911,15265,11302,1666,882,138,493,376,0,0,53033,CW,City Wide,State of Good Repair C03
Water Program,ENGINEERING,PPFA SALARIES,1,1,2417,0,0,0,0,0,0,0,2419,CW,City Wide,State of Good Repair C03
Water Program,HARRIS W.T.P. R&R,HVAC REHAB CONSTRUCTION,-7,-6,11,0,0,0,0,0,0,0,-2,CW,City Wide,State of Good Repair C03
Water Program,HARRIS W.T.P. R&R,EXTERIOR SECURITY LIGHTING UPGRADES,100,550,550,0,0,0,0,0,0,0,1200,CW,City Wide,State of Good Repair C03
Water Program,ISLAND W.T.P. R&R,CHEMICAL & RESIDUALS MANAGEMENT CONST,12330,17640,20890,20426,7689,0,0,0,0,0,78975,CW,City Wide,Legislated C02
Water Program,WT&S PLANTWIDE,STANDBY POWER - PHASE 2 - ENG,-37,21,28,30,17,-14,10,-4,-3,5,53,CW,City Wide,Service Improvement and Enhancement C04
Water Program,WT&S PLANTWIDE,SOURCE WATER PROTECTION - LAKE ONTARIO COLLABORATI,-577,115,459,58,15,-78,25,25,25,461,528,CW,City Wide,Service Improvement and Enhancement C04
Toronto Parking Authority,CP 221 (JV) 121 St. Patrick St.,CP 221 (JV) 121 St. Patrick St.,-300,0,0,0,0,0,0,0,0,0,-300,10,Spadina-Fort York,Growth Related C05
Toronto Parking Authority,Consultant Retainer for Design at FM sites,Connell Court,1275,2100,0,0,0,0,0,0,0,0,3375,CW,City Wide,Service Improvement and Enhancement C04
Toronto Parking Authority,CP68 New Elevators and Stairwell Rehabilitation,CP68 New Elevators and Stairwell Rehabilitation,-675,0,0,0,0,0,0,0,0,0,-675,11,University-Rosedale,State of Good Repair C03
Toronto Parking Authority,CP68 Garage Modernization,CP68 Garage Modernization,2736,0,0,0,0,0,0,0,0,0,2736,11,University-Rosedale,State of Good Repair C03
Toronto Parking Authority,CP58 Repaving of Surface Lot,CP58 Repaving of Surface Lot,0,250,0,0,0,0,0,0,0,0,250,11,University-Rosedale,State of Good Repair C03
Toronto Parking Authority,CP58 Repaving of Surface Lot,CP58 Repaving of Surface Lot,0,-250,0,0,0,0,0,0,0,0,-250,11,University-Rosedale,State of Good Repair C03
Toronto Parking Authority,CP 277 Permanent Construction Surface Lot,CP 277 Permanent Construction Surface Lot,-150,0,0,0,0,0,0,0,0,0,-150,10,Spadina-Fort York,Growth Related C05
Toronto Parking Authority,4 Year Bike Share Expansion,Bike Share Equipment Purchase,5700,3800,1500,1500,3000,3000,6000,6000,6000,0,36500,CW,City Wide,Growth Related C05
Toronto Parking Authority,CP212 / 227 Adelaide and Spadina Re-development,CP212 CP227 (JV) 363 Adelaide and 105 Spadina,-3,-8,0,0,0,0,0,0,0,0,-11,10,Spadina-Fort York,Growth Related C05
Toronto Parking Authority,Surface Lot Condition Assessment,Engineering Services,2500,2500,2500,2500,0,0,0,0,0,0,10000,CW,City Wide,State of Good Repair C03
Toronto Parking Authority,Metro Hall,Metro Hall,900,200,0,0,0,0,0,0,0,0,1100,10,Spadina-Fort York,Growth Related C05
Office of the Controller,Parking Tag Mgmt Software Replacement 2028,Parking Tag Mgmt Software Replacement 2026,0,0,0,0,500,800,440,1260,0,0,3000,CW,City Wide,State of Good Repair C03
Office of the Controller,Financial Systems Transformation,FSTP - Increased Costs for Planning Tool,1418,0,0,0,0,0,0,0,0,0,1418,CW,City Wide,Service Improvement and Enhancement C04
Office of the Controller,Electronic Self Service Tax and Utility,Electronic Self Service Tax and Utility,0,0,0,0,0,0,0,0,0,0,0,CW,City Wide,Service Improvement and Enhancement C04
Toronto Paramedic Services,Additional ERVs,Additional ERV - Future Years (5 +1 per year),0,780,0,0,0,0,0,0,0,0,780,CW,City Wide,Growth Related C05
Toronto Paramedic Services,Additional Ambulances,Additional Ambulances  - Future Years,0,2800,2800,2800,0,0,0,0,0,0,8400,CW,City Wide,Growth Related C05
Toronto Paramedic Services,Multi-Function Station #4,Multi-Function Station #4,0,0,0,0,0,0,0,0,3000,5000,8000,CW,City Wide,Growth Related C05
Toronto Paramedic Services,Bus,Bus,0,0,5000,0,0,0,0,0,0,0,5000,CW,City Wide,Growth Related C05
Economic Development & Culture,Service Enhancement,Cedar Ridge Studio Improvements-FY,0,0,0,0,300,0,0,0,400,0,700,24,Scarborough-Guildwood,Service Improvement and Enhancement C04
Economic Development & Culture,Service Enhancement,Montgomery's Inn Briarly Room-FY,0,0,0,0,0,400,0,0,0,500,900,2,Etobicoke Centre,Service Improvement and Enhancement C04
Economic Development & Culture,Commercial Facade Improvement Program - CFIP,2025-2033 Commercial Facade Improvement Program,0,721,1021,1021,1021,1021,1021,1021,1021,1021,8889,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Soccer Field (4),0,0,0,0,45,680,0,0,0,0,725,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Arena,CAMP (SGR) Arenas,0,0,0,14158,8925,1746,4347,4974,4031,12228,50409,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Arena,FMP-Arena Repurpose (1),0,0,0,0,0,0,0,40,300,80,420,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,Critical SOGR to Maintain Service,0,0,0,479,1504,411,283,1210,1425,0,5312,CW,City Wide,State of Good Repair C03
